destination,packet_transmit,packet_receive,packet_loss_count,packet_loss_rate,rtt_min,rtt_avg,rtt_max,rtt_mdev,packet_duplicate_count,packet_duplicate_rate,jitter,loss_rate,loss_count,location,latitude,longitude,wifi_name
google.com,40,40,0,0.0,9.414,18.926,122.364,21.619,0,0.0,13.813333333333334,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
youtube.com,40,40,0,0.0,10.251,13.254,16.43,1.385,0,0.0,1.5230769230769226,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
tmall.com,40,36,4,10.0,242.546,329.738,412.161,42.257,0,0.0,44.65714285714286,10.0,4,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
facebook.com,40,40,0,0.0,12.667,15.733,25.321,1.998,0,0.0,1.9102564102564106,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
qq.com,40,32,8,20.0,222.789,308.541,375.477,36.273,0,0.0,41.58064516129032,20.0,8,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
baidu.com,40,40,0,0.0,220.719,283.142,364.511,39.684,0,0.0,41.12820512820513,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
sohu.com,40,38,2,5.0,217.312,308.275,380.055,41.435,0,0.0,41.108108108108105,5.0,2,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
taobao.com,40,40,0,0.0,248.19,305.74,360.447,32.046,0,0.0,39.51282051282051,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
360.cn,40,40,0,0.0,263.819,344.483,515.31,45.969,0,0.0,43.41025641025641,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
jd.com,40,40,0,0.0,304.869,362.608,412.779,30.603,0,0.0,36.41025641025641,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
amazon.com,40,40,0,0.0,11.245,19.351,120.549,20.325,0,0.0,8.435897435897434,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
yahoo.com,40,40,0,0.0,16.129,18.963,22.624,1.464,0,0.0,1.6307692307692303,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
wikipedia.org,40,40,0,0.0,37.41,45.425,111.685,13.624,0,0.0,7.5538461538461545,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
weibo.com,40,40,0,0.0,226.857,282.227,436.431,43.698,0,0.0,52.64102564102564,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
sina.com.cn,40,37,3,7.5,240.913,325.831,471.222,46.871,0,0.0,46.861111111111114,7.5,3,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
alipay.com,40,38,2,5.0,258.907,334.798,405.842,37.148,0,0.0,48.86486486486486,5.0,2,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
bing.com,40,40,0,0.0,5.966,16.712,114.606,21.582,0,0.0,10.07205128205128,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
live.com,40,40,0,0.0,6.372,9.433,15.239,1.646,0,0.0,1.7510256410256413,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
twitter.com,40,40,0,0.0,30.187,33.717,52.844,4.413,0,0.0,3.2717948717948717,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
twitch.tv,40,40,0,0.0,5.271,8.1,17.143,1.921,0,0.0,1.9371794871794872,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
reddit.com,40,40,0,0.0,5.613,8.899,25.068,3.676,0,0.0,2.708717948717948,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
office.com,40,40,0,0.0,6.93,10.503,36.859,4.825,0,0.0,3.094358974358975,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
instagram.com,40,40,0,0.0,12.876,16.184,32.254,3.724,0,0.0,2.8,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
panda.tv,40,40,0,0.0,4.935,8.73,35.869,4.633,0,0.0,2.628974358974359,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
zhanqi.tv,40,40,0,0.0,275.18,352.356,437.281,50.073,0,0.0,40.1025641025641,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
blackboard.stonybrook.edu,40,40,0,0.0,4.254,8.257,25.953,3.348,0,0.0,2.6428205128205127,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
messenger.com,40,40,0,0.0,12.22,21.34,213.897,31.163,0,0.0,13.379487179487182,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
classroom.google.com,40,40,0,0.0,9.556,13.046,19.022,1.727,0,0.0,1.6661538461538459,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
chegg.com,40,40,0,0.0,11.143,26.67,201.333,45.634,0,0.0,10.635897435897437,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
coursehero.com,40,40,0,0.0,5.609,8.949,53.594,7.239,0,0.0,3.6315384615384616,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
discord.com,40,40,0,0.0,6.246,8.226,10.558,1.205,0,0.0,1.168974358974359,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
quizlet.com,40,40,0,0.0,5.063,8.311,20.406,2.97,0,0.0,2.4697435897435898,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
github.com,40,40,0,0.0,10.053,16.867,74.093,11.537,0,0.0,5.910256410256411,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
psns.cc.stonybrook.edu,40,40,0,0.0,3.952,7.345,13.942,1.82,0,0.0,1.5861538461538462,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
stackoverflow.com,40,40,0,0.0,4.466,8.256,19.383,2.444,0,0.0,2.4635897435897434,0.0,0,HumanitiesGlassArea,40.91421,-73.12134,WolfieNet-Secure
